State,District,Season,Soil_Type,Min_pH,Max_pH,Primary_Recommended_Crops,lookup_key
Arunachal Pradesh,Shi Yomi,Rabi,High Alpine Acidic Loam,4.2,5.5,"Barley, Mustard, Off-season Potato",arunachal pradesh|shi yomi|rabi|high alpine acidic loam
Arunachal Pradesh,Shi Yomi,Zaid,High Alpine Acidic Loam,4.2,5.5,"Local Vegetables, Beans",arunachal pradesh|shi yomi|zaid|high alpine acidic loam
Arunachal Pradesh,Siang,Kharif,Hilly Clay Loam / Acidic Soil,5.0,6.2,"Paddy, Orange (Citrus), Maize, Ginger",arunachal pradesh|siang|kharif|hilly clay loam / acidic soil
Arunachal Pradesh,Siang,Rabi,Hilly Clay Loam / Acidic Soil,5.0,6.2,"Mustard, Potato, Peas, Cabbage",arunachal pradesh|siang|rabi|hilly clay loam / acidic soil
Arunachal Pradesh,Siang,Zaid,Hilly Clay Loam / Acidic Soil,5.0,6.2,"Cucurbits, Beans, Vegetables",arunachal pradesh|siang|zaid|hilly clay loam / acidic soil
Arunachal Pradesh,Tawang,Kharif,High Altitude Organic Acidic Soil,4.5,5.8,"Maize, Potato, Buckwheat, Barley, Apple",arunachal pradesh|tawang|kharif|high altitude organic acidic soil
Arunachal Pradesh,Tawang,Rabi,High Altitude Organic Acidic Soil,4.5,5.8,"Wheat, Barley, Garlic, Off-season Vegetables",arunachal pradesh|tawang|rabi|high altitude organic acidic soil
Arunachal Pradesh,Tawang,Zaid,High Altitude Organic Acidic Soil,4.5,5.8,"Beans, Cabbage, Peas, Green Vegetables",arunachal pradesh|tawang|zaid|high altitude organic acidic soil
Arunachal Pradesh,Tirap,Kharif,Red Sandy Loam / Acidic Soil,4.8,6.0,"Jhum Rice, WRC Paddy, Maize, Tea, Cardamom",arunachal pradesh|tirap|kharif|red sandy loam / acidic soil
Arunachal Pradesh,Tirap,Rabi,Red Sandy Loam / Acidic Soil,4.8,6.0,"Mustard, Potato, Pulses, Vegetables",arunachal pradesh|tirap|rabi|red sandy loam / acidic soil
Arunachal Pradesh,Tirap,Zaid,Red Sandy Loam / Acidic Soil,4.8,6.0,"Cowpea, Cucurbits, Vegetables",arunachal pradesh|tirap|zaid|red sandy loam / acidic soil
Arunachal Pradesh,Upper Siang,Kharif,Mountainous Forest Acidic Soil,4.5,5.8,"Paddy, Maize, Orange, Large Cardamom, Yam",arunachal pradesh|upper siang|kharif|mountainous forest acidic soil
Arunachal Pradesh,Upper Siang,Rabi,Mountainous Forest Acidic Soil,4.5,5.8,"Mustard, Potato, Peas, Radish",arunachal pradesh|upper siang|rabi|mountainous forest acidic soil
Arunachal Pradesh,Upper Siang,Zaid,Mountainous Forest Acidic Soil,4.5,5.8,"Beans, Cucurbits, Green Vegetables",arunachal pradesh|upper siang|zaid|mountainous forest acidic soil
Arunachal Pradesh,Upper Subansiri,Kharif,Hilly Acidic Soil / Silt Loam,4.8,6.0,"Paddy, Maize, Ginger, Turmeric, Millets",arunachal pradesh|upper subansiri|kharif|hilly acidic soil / silt loam
Arunachal Pradesh,Upper Subansiri,Rabi,Hilly Acidic Soil / Silt Loam,4.8,6.0,"Mustard, Potato, Pulses, Cabbage",arunachal pradesh|upper subansiri|rabi|hilly acidic soil / silt loam
Arunachal Pradesh,Upper Subansiri,Zaid,Hilly Acidic Soil / Silt Loam,4.8,6.0,"Cucurbits, Cowpea, Green Maize",arunachal pradesh|upper subansiri|zaid|hilly acidic soil / silt loam
Arunachal Pradesh,West Kameng,Kharif,Temperate Loamy Acidic Soil,4.8,6.2,"Maize, Paddy, Tomato, Apple, Kiwi, Kiwi/Kiwi Fruit",arunachal pradesh|west kameng|kharif|temperate loamy acidic soil
Arunachal Pradesh,West Kameng,Rabi,Temperate Loamy Acidic Soil,4.8,6.2,"Off-season Tomato, Potato, Mustard, Barley, Peas",arunachal pradesh|west kameng|rabi|temperate loamy acidic soil
Arunachal Pradesh,West Kameng,Zaid,Temperate Loamy Acidic Soil,4.8,6.2,"Cabbage, Cauliflower, Beans, Cucurbits",arunachal pradesh|west kameng|zaid|temperate loamy acidic soil
Arunachal Pradesh,West Siang,Kharif,Sub-Tropical Clay Loam,5.0,6.2,"Paddy, Citrus (Orange), Maize, Ginger, Pineapple",arunachal pradesh|west siang|kharif|sub-tropical clay loam
Arunachal Pradesh,West Siang,Rabi,Sub-Tropical Clay Loam,5.0,6.2,"Mustard, Potato, Peas, Tomato",arunachal pradesh|west siang|rabi|sub-tropical clay loam
Arunachal Pradesh,West Siang,Zaid,Sub-Tropical Clay Loam,5.0,6.2,"Cucurbits, Cowpea, Vegetables",arunachal pradesh|west siang|zaid|sub-tropical clay loam
Arunachal Pradesh,Bichom,Kharif,Sub-Himalayan Acidic Forest Loam,4.8,6.0,"Paddy, Maize, Ginger, Kiwi, Orange",arunachal pradesh|bichom|kharif|sub-himalayan acidic forest loam
Arunachal Pradesh,Bichom,Rabi,Sub-Himalayan Acidic Forest Loam,4.8,6.0,"Mustard, Potato, Peas, Off-season Vegetables",arunachal pradesh|bichom|rabi|sub-himalayan acidic forest loam
Arunachal Pradesh,Bichom,Zaid,Sub-Himalayan Acidic Forest Loam,4.8,6.0,"Cucurbits, Beans, Vegetables",arunachal pradesh|bichom|zaid|sub-himalayan acidic forest loam
Assam,Bajali,Kharif,Alluvial Silt Loam,5.2,6.5,"Sali Paddy, Sugarcane, Jute, Vegetables",assam|bajali|kharif|alluvial silt loam
Assam,Bajali,Rabi,Alluvial Silt Loam,5.2,6.5,"Mustard, Boro Paddy, Potato, Pulses (Lentil)",assam|bajali|rabi|alluvial silt loam
Assam,Bajali,Zaid,Alluvial Silt Loam,5.2,6.5,"Ahu Paddy, Summer Pulses, Vegetables, Cucumber",assam|bajali|zaid|alluvial silt loam
Assam,Baksa,Kharif,Sandy Loam / Sub-Himalayan Alluvial,5.0,6.2,"Sali Paddy, Maize, Jute, Vegetables",assam|baksa|kharif|sandy loam / sub-himalayan alluvial
Assam,Baksa,Rabi,Sandy Loam / Sub-Himalayan Alluvial,5.0,6.2,"Mustard, Boro Paddy, Potato, Blackgram",assam|baksa|rabi|sandy loam / sub-himalayan alluvial
Assam,Baksa,Zaid,Sandy Loam / Sub-Himalayan Alluvial,5.0,6.2,"Ahu Paddy, Summer Moong, Vegetables, Watermelon",assam|baksa|zaid|sandy loam / sub-himalayan alluvial
Assam,Barpeta,Kharif,Riverine Sandy / Active Floodplain Silt,5.5,6.8,"Sali Paddy, Jute, Sugarcane, Vegetables",assam|barpeta|kharif|riverine sandy / active floodplain silt
Assam,Barpeta,Rabi,Riverine Sandy / Active Floodplain Silt,5.5,6.8,"Boro Paddy, Mustard, Potato, Wheat, Lentil",assam|barpeta|rabi|riverine sandy / active floodplain silt
Assam,Barpeta,Zaid,Riverine Sandy / Active Floodplain Silt,5.5,6.8,"Jute (Early), Ahu Paddy, Summer Vegetables, Watermelon",assam|barpeta|zaid|riverine sandy / active floodplain silt
Assam,Biswanath,Kharif,Fertile Alluvial Clay Loam,5.2,6.5,"Sali Paddy, Tea, Sugarcane, Jute",assam|biswanath|kharif|fertile alluvial clay loam
Assam,Biswanath,Rabi,Fertile Alluvial Clay Loam,5.2,6.5,"Mustard, Boro Paddy, Potato, Pulses",assam|biswanath|rabi|fertile alluvial clay loam
Assam,Biswanath,Zaid,Fertile Alluvial Clay Loam,5.2,6.5,"Ahu Paddy, Vegetables, Cowpea",assam|biswanath|zaid|fertile alluvial clay loam
Assam,Bongaigaon,Kharif,Alluvial Loam / Red Sandy Loam,5.0,6.4,"Sali Paddy, Jute, Maize, Pulses",assam|bongaigaon|kharif|alluvial loam / red sandy loam
Assam,Bongaigaon,Rabi,Alluvial Loam / Red Sandy Loam,5.0,6.4,"Mustard, Boro Paddy, Potato, Wheat",assam|bongaigaon|rabi|alluvial loam / red sandy loam
Assam,Bongaigaon,Zaid,Alluvial Loam / Red Sandy Loam,5.0,6.4,"Ahu Paddy, Summer Vegetables, Moong",assam|bongaigaon|zaid|alluvial loam / red sandy loam
Assam,Cachar,Kharif,Surma Valley Alluvial / Acid Silt,4.8,6.0,"Sali Paddy, Tea, Sugarcane, Pineapple",assam|cachar|kharif|surma valley alluvial / acid silt
Assam,Cachar,Rabi,Surma Valley Alluvial / Acid Silt,4.8,6.0,"Boro Paddy, Mustard, Potato, Vegetables",assam|cachar|rabi|surma valley alluvial / acid silt
Assam,Cachar,Zaid,Surma Valley Alluvial / Acid Silt,4.8,6.0,"Ahu Paddy, Vegetables, Cowpea",assam|cachar|zaid|surma valley alluvial / acid silt
Assam,Charaideo,Kharif,Acidic Red Clay Loam,4.5,5.8,"Sali Paddy, Tea, Sugarcane, Ginger",assam|charaideo|kharif|acidic red clay loam
Assam,Charaideo,Rabi,Acidic Red Clay Loam,4.5,5.8,"Mustard, Potato, Peas, Winter Vegetables",assam|charaideo|rabi|acidic red clay loam
Assam,Charaideo,Zaid,Acidic Red Clay Loam,4.5,5.8,"Vegetables, Cowpea, Cucurbits",assam|charaideo|zaid|acidic red clay loam
Assam,Chirang,Kharif,Bhabar-Terai Sandy Loam,5.0,6.2,"Sali Paddy, Maize, Jute, Sugarcane",assam|chirang|kharif|bhabar-terai sandy loam
Assam,Chirang,Rabi,Bhabar-Terai Sandy Loam,5.0,6.2,"Mustard, Boro Paddy, Potato, Pulses",assam|chirang|rabi|bhabar-terai sandy loam
Assam,Chirang,Zaid,Bhabar-Terai Sandy Loam,5.0,6.2,"Ahu Paddy, Vegetables, Summer Moong",assam|chirang|zaid|bhabar-terai sandy loam
Assam,Darrang,Kharif,Brahmaputra Alluvial Loam,5.4,6.8,"Sali Paddy, Jute, Vegetables, Sugarcane",assam|darrang|kharif|brahmaputra alluvial loam
Assam,Darrang,Rabi,Brahmaputra Alluvial Loam,5.4,6.8,"Boro Paddy, Mustard, Commercial Vegetables, Potato",assam|darrang|rabi|brahmaputra alluvial loam
Assam,Darrang,Zaid,Brahmaputra Alluvial Loam,5.4,6.8,"Vegetables, Watermelon, Ahu Paddy, Cowpea",assam|darrang|zaid|brahmaputra alluvial loam
Assam,Dhemaji,Kharif,Floodplain Sandy Alluvial,5.0,6.2,"Sali Paddy (Bao Rice), Maize, Mustard (Early)",assam|dhemaji|kharif|floodplain sandy alluvial
Assam,Dhemaji,Rabi,Floodplain Sandy Alluvial,5.0,6.2,"Mustard, Potato, Boro Paddy, Matikalai (Blackgram)",assam|dhemaji|rabi|floodplain sandy alluvial
Assam,Dhemaji,Zaid,Floodplain Sandy Alluvial,5.0,6.2,"Ahu Paddy, Vegetables, Cucurbits",assam|dhemaji|zaid|floodplain sandy alluvial
Assam,Dhubri,Kharif,Active Floodplain Alluvial / Silt Clay,5.5,7.0,"Sali Paddy, Jute, Sugarcane, Vegetables",assam|dhubri|kharif|active floodplain alluvial / silt clay
Assam,Dhubri,Rabi,Active Floodplain Alluvial / Silt Clay,5.5,7.0,"Boro Paddy, Mustard, Potato, Wheat, Chili",assam|dhubri|rabi|active floodplain alluvial / silt clay
Assam,Dhubri,Zaid,Active Floodplain Alluvial / Silt Clay,5.5,7.0,"Jute, Summer Vegetables, Watermelon, Ahu Paddy",assam|dhubri|zaid|active floodplain alluvial / silt clay
Assam,Dibrugarh,Kharif,Acidic Alluvial Silt Loam,4.5,5.8,"Sali Paddy, Tea, Sugarcane, Ginger",assam|dibrugarh|kharif|acidic alluvial silt loam
Assam,Dibrugarh,Rabi,Acidic Alluvial Silt Loam,4.5,5.8,"Mustard, Potato, Boro Paddy, Vegetables",assam|dibrugarh|rabi|acidic alluvial silt loam
Assam,Dibrugarh,Zaid,Acidic Alluvial Silt Loam,4.5,5.8,"Ahu Paddy, Vegetables, Cucurbits",assam|dibrugarh|zaid|acidic alluvial silt loam
Assam,Dima Hasao,Kharif,Hilly Organic Acidic Red Soil,4.5,5.5,"Jhum Rice, Maize, Ginger, Turmeric, Pineapple",assam|dima hasao|kharif|hilly organic acidic red soil
Assam,Dima Hasao,Rabi,Hilly Organic Acidic Red Soil,4.5,5.5,"Mustard, Potato, Cabbage, Off-season Vegetables",assam|dima hasao|rabi|hilly organic acidic red soil
Assam,Dima Hasao,Zaid,Hilly Organic Acidic Red Soil,4.5,5.5,"Vegetables, Beans, Maize",assam|dima hasao|zaid|hilly organic acidic red soil
Assam,Goalpara,Kharif,Red Sandy Loam / Alluvial Plain,5.2,6.5,"Sali Paddy, Rubber, Jute, Banana, Maize",assam|goalpara|kharif|red sandy loam / alluvial plain
Assam,Goalpara,Rabi,Red Sandy Loam / Alluvial Plain,5.2,6.5,"Mustard, Boro Paddy, Potato, Pulses",assam|goalpara|rabi|red sandy loam / alluvial plain
Assam,Goalpara,Zaid,Red Sandy Loam / Alluvial Plain,5.2,6.5,"Ahu Paddy, Vegetables, Cucurbits",assam|goalpara|zaid|red sandy loam / alluvial plain
Assam,Golaghat,Kharif,Alluvial Silt Clay Loam,4.8,6.2,"Sali Paddy, Tea, Sugarcane, Pulses",assam|golaghat|kharif|alluvial silt clay loam
Assam,Golaghat,Rabi,Alluvial Silt Clay Loam,4.8,6.2,"Mustard, Boro Paddy, Potato, Pulses",assam|golaghat|rabi|alluvial silt clay loam
Assam,Golaghat,Zaid,Alluvial Silt Clay Loam,4.8,6.2,"Ahu Paddy, Vegetables, Cowpea",assam|golaghat|zaid|alluvial silt clay loam
Assam,Hailakandi,Kharif,Valley Alluvial / Silt Loam,5.0,6.2,"Sali Paddy, Tea, Sugarcane, Vegetables",assam|hailakandi|kharif|valley alluvial / silt loam
Assam,Hailakandi,Rabi,Valley Alluvial / Silt Loam,5.0,6.2,"Boro Paddy, Mustard, Potato, Pulses",assam|hailakandi|rabi|valley alluvial / silt loam
Assam,Hailakandi,Zaid,Valley Alluvial / Silt Loam,5.0,6.2,"Ahu Paddy, Vegetables, Cucurbits",assam|hailakandi|zaid|valley alluvial / silt loam
Assam,Hojai,Kharif,Fertile Alluvial Clay Loam,5.5,6.8,"Sali Paddy, Sugarcane, Jute, Vegetables",assam|hojai|kharif|fertile alluvial clay loam
Assam,Hojai,Rabi,Fertile Alluvial Clay Loam,5.5,6.8,"Boro Paddy, Mustard, Potato, Pulses",assam|hojai|rabi|fertile alluvial clay loam
Assam,Hojai,Zaid,Fertile Alluvial Clay Loam,5.5,6.8,"Ahu Paddy, Summer Moong, Vegetables",assam|hojai|zaid|fertile alluvial clay loam
Assam,Jorhat,Kharif,Acidic Alluvial Loam,4.8,6.0,"Sali Paddy, Tea, Sugarcane, Vegetables",assam|jorhat|kharif|acidic alluvial loam
Assam,Jorhat,Rabi,Acidic Alluvial Loam,4.8,6.0,"Mustard, Potato, Boro Paddy, Peas",assam|jorhat|rabi|acidic alluvial loam
Assam,Jorhat,Zaid,Acidic Alluvial Loam,4.8,6.0,"Ahu Paddy, Summer Vegetables, Cowpea",assam|jorhat|zaid|acidic alluvial loam
Assam,Kamrup,Kharif,Central Alluvial Loam,5.2,6.6,"Sali Paddy, Jute, Sugarcane, Vegetables",assam|kamrup|kharif|central alluvial loam
Assam,Kamrup,Rabi,Central Alluvial Loam,5.2,6.6,"Boro Paddy, Mustard, Potato, Pulses",assam|kamrup|rabi|central alluvial loam
Assam,Kamrup,Zaid,Central Alluvial Loam,5.2,6.6,"Ahu Paddy, Cucurbits, Watermelon, Vegetables",assam|kamrup|zaid|central alluvial loam
Assam,Kamrup Metropolitan,Kharif,Alluvial Sandy Silt Loam,5.5,6.8,"Sali Paddy, Vegetables, Fruits, Flowers",assam|kamrup metropolitan|kharif|alluvial sandy silt loam
Assam,Kamrup Metropolitan,Rabi,Alluvial Sandy Silt Loam,5.5,6.8,"Mustard, Vegetables, Potato, Boro Paddy",assam|kamrup metropolitan|rabi|alluvial sandy silt loam
Assam,Kamrup Metropolitan,Zaid,Alluvial Sandy Silt Loam,5.5,6.8,"Urban Horticulture, Cucurbits, Vegetables",assam|kamrup metropolitan|zaid|alluvial sandy silt loam
Assam,Karbi Anglong,Kharif,Hilly Red Loamy / Lateritic Soil,4.5,5.8,"Jhum Paddy, Maize, Ginger, Turmeric, Sugarcane",assam|karbi anglong|kharif|hilly red loamy / lateritic soil
Assam,Karbi Anglong,Rabi,Hilly Red Loamy / Lateritic Soil,4.5,5.8,"Mustard, Potato, Pulses, Vegetables",assam|karbi anglong|rabi|hilly red loamy / lateritic soil
Assam,Karbi Anglong,Zaid,Hilly Red Loamy / Lateritic Soil,4.5,5.8,"Vegetables, Cowpea, Maize",assam|karbi anglong|zaid|hilly red loamy / lateritic soil
Assam,Karimganj,Kharif,Lowland Alluvial Silt / Acidic Clay,4.8,6.0,"Sali Paddy, Sugarcane, Tea, Vegetables",assam|karimganj|kharif|lowland alluvial silt / acidic clay
Assam,Karimganj,Rabi,Lowland Alluvial Silt / Acidic Clay,4.8,6.0,"Boro Paddy, Mustard, Potato, Pulses",assam|karimganj|rabi|lowland alluvial silt / acidic clay
Assam,Karimganj,Zaid,Lowland Alluvial Silt / Acidic Clay,4.8,6.0,"Ahu Paddy, Vegetables, Cucurbits",assam|karimganj|zaid|lowland alluvial silt / acidic clay
Assam,Kokrajhar,Kharif,Sandy Loam / Sub-Himalayan Alluvial,5.0,6.2,"Sali Paddy, Jute, Maize, Vegetables",assam|kokrajhar|kharif|sandy loam / sub-himalayan alluvial
Assam,Kokrajhar,Rabi,Sandy Loam / Sub-Himalayan Alluvial,5.0,6.2,"Mustard, Boro Paddy, Potato, Pulses",assam|kokrajhar|rabi|sandy loam / sub-himalayan alluvial
Assam,Kokrajhar,Zaid,Sandy Loam / Sub-Himalayan Alluvial,5.0,6.2,"Ahu Paddy, Cucurbits, Vegetables",assam|kokrajhar|zaid|sandy loam / sub-himalayan alluvial
Assam,Lakhimpur,Kharif,Sub-Himalayan Alluvial Floodplain,5.0,6.2,"Sali Paddy (Bao Rice), Tea, Sugarcane, Jute",assam|lakhimpur|kharif|sub-himalayan alluvial floodplain
Assam,Lakhimpur,Rabi,Sub-Himalayan Alluvial Floodplain,5.0,6.2,"Mustard, Boro Paddy, Potato, Blackgram",assam|lakhimpur|rabi|sub-himalayan alluvial floodplain
Assam,Lakhimpur,Zaid,Sub-Himalayan Alluvial Floodplain,5.0,6.2,"Ahu Paddy, Summer Moong, Vegetables",assam|lakhimpur|zaid|sub-himalayan alluvial floodplain
Assam,Majuli,Kharif,Riverine Island Active Alluvial Silt,5.2,6.5,"Bao Rice, Sali Paddy, Mustard (Early), Sugarcane",assam|majuli|kharif|riverine island active alluvial silt
Assam,Majuli,Rabi,Riverine Island Active Alluvial Silt,5.2,6.5,"Mustard, Potato, Boro Paddy, Pulses (Lentil, Pea)",assam|majuli|rabi|riverine island active alluvial silt
Assam,Majuli,Zaid,Riverine Island Active Alluvial Silt,5.2,6.5,"Summer Pulses, Watermelon, Vegetables, Ahu Paddy",assam|majuli|zaid|riverine island active alluvial silt
Assam,Morigaon,Kharif,Lowland Alluvial Silt,5.2,6.5,"Sali Paddy, Jute, Vegetables, Sugarcane",assam|morigaon|kharif|lowland alluvial silt
Assam,Morigaon,Rabi,Lowland Alluvial Silt,5.2,6.5,"Boro Paddy, Mustard, Potato, Blackgram",assam|morigaon|rabi|lowland alluvial silt
Assam,Morigaon,Zaid,Lowland Alluvial Silt,5.2,6.5,"Ahu Paddy, Vegetables, Cucurbits",assam|morigaon|zaid|lowland alluvial silt
Assam,Nagaon,Kharif,Fertile Brahmaputra Alluvial Loam,5.5,6.8,"Sali Paddy, Jute, Sugarcane, Vegetables",assam|nagaon|kharif|fertile brahmaputra alluvial loam
Assam,Nagaon,Rabi,Fertile Brahmaputra Alluvial Loam,5.5,6.8,"Boro Paddy, Mustard, Potato, Pulses, Wheat",assam|nagaon|rabi|fertile brahmaputra alluvial loam
Assam,Nagaon,Zaid,Fertile Brahmaputra Alluvial Loam,5.5,6.8,"Ahu Paddy, Summer Moong, Watermelon, Vegetables",assam|nagaon|zaid|fertile brahmaputra alluvial loam
Assam,Nalbari,Kharif,Alluvial Silt Loam,5.2,6.5,"Sali Paddy, Jute, Sugarcane, Vegetables",assam|nalbari|kharif|alluvial silt loam
Assam,Nalbari,Rabi,Alluvial Silt Loam,5.2,6.5,"Mustard, Boro Paddy, Potato, Pulses",assam|nalbari|rabi|alluvial silt loam
Assam,Nalbari,Zaid,Alluvial Silt Loam,5.2,6.5,"Ahu Paddy, Cucurbits, Vegetables",assam|nalbari|zaid|alluvial silt loam
Assam,West Karbi Anglong,Kharif,Hilly Red Organic Loam,4.5,5.8,"Jhum Paddy, Maize, Ginger, Turmeric",assam|west karbi anglong|kharif|hilly red organic loam
Assam,West Karbi Anglong,Rabi,Hilly Red Organic Loam,4.5,5.8,"Mustard, Potato, Pulses, Vegetables",assam|west karbi anglong|rabi|hilly red organic loam
Assam,West Karbi Anglong,Zaid,Hilly Red Organic Loam,4.5,5.8,"Vegetables, Cowpea, Green Maize",assam|west karbi anglong|zaid|hilly red organic loam
Assam,Sivasagar,Kharif,Acidic Alluvial Silt Clay,4.5,5.8,"Sali Paddy, Tea, Sugarcane, Vegetables",assam|sivasagar|kharif|acidic alluvial silt clay
Assam,Sivasagar,Rabi,Acidic Alluvial Silt Clay,4.5,5.8,"Mustard, Potato, Boro Paddy, Pulses",assam|sivasagar|rabi|acidic alluvial silt clay
Assam,Sivasagar,Zaid,Acidic Alluvial Silt Clay,4.5,5.8,"Ahu Paddy, Summer Vegetables, Cowpea",assam|sivasagar|zaid|acidic alluvial silt clay
Assam,Sonitpur,Kharif,Alluvial Sandy Clay Loam,5.0,6.4,"Sali Paddy, Tea, Sugarcane, Jute",assam|sonitpur|kharif|alluvial sandy clay loam
Assam,Sonitpur,Rabi,Alluvial Sandy Clay Loam,5.0,6.4,"Mustard, Boro Paddy, Potato, Vegetables",assam|sonitpur|rabi|alluvial sandy clay loam
Assam,Sonitpur,Zaid,Alluvial Sandy Clay Loam,5.0,6.4,"Ahu Paddy, Summer Moong, Vegetables",assam|sonitpur|zaid|alluvial sandy clay loam
Assam,South Salmara-Mankachar,Kharif,Active Floodplain Silt Loam,5.5,7.0,"Sali Paddy, Jute, Vegetables",assam|south salmara-mankachar|kharif|active floodplain silt loam
Assam,South Salmara-Mankachar,Rabi,Active Floodplain Silt Loam,5.5,7.0,"Boro Paddy, Mustard, Potato, Chili",assam|south salmara-mankachar|rabi|active floodplain silt loam
Assam,South Salmara-Mankachar,Zaid,Active Floodplain Silt Loam,5.5,7.0,"Jute, Cucurbits, Watermelon, Ahu Paddy",assam|south salmara-mankachar|zaid|active floodplain silt loam
Assam,Tinsukia,Kharif,Acidic Alluvial / Red Loam,4.5,5.8,"Tea, Sali Paddy, Ginger, Turmeric, Citrus",assam|tinsukia|kharif|acidic alluvial / red loam
Assam,Tinsukia,Rabi,Acidic Alluvial / Red Loam,4.5,5.8,"Mustard, Potato, Vegetables, Pulses",assam|tinsukia|rabi|acidic alluvial / red loam
Assam,Tinsukia,Zaid,Acidic Alluvial / Red Loam,4.5,5.8,"Ahu Paddy, Vegetables, Cucurbits",assam|tinsukia|zaid|acidic alluvial / red loam
Assam,Udalguri,Kharif,Sub-Himalayan Sandy Loam,5.0,6.2,"Sali Paddy, Tea, Maize, Jute",assam|udalguri|kharif|sub-himalayan sandy loam
Assam,Udalguri,Rabi,Sub-Himalayan Sandy Loam,5.0,6.2,"Mustard, Boro Paddy, Potato, Pulses",assam|udalguri|rabi|sub-himalayan sandy loam
Assam,Udalguri,Zaid,Sub-Himalayan Sandy Loam,5.0,6.2,"Ahu Paddy, Vegetables, Cowpea",assam|udalguri|zaid|sub-himalayan sandy loam
Assam,Tamulpur,Kharif,Bhabar-Terai Sandy Clay Loam,5.0,6.2,"Sali Paddy, Maize, Jute, Sugarcane",assam|tamulpur|kharif|bhabar-terai sandy clay loam
Assam,Tamulpur,Rabi,Bhabar-Terai Sandy Clay Loam,5.0,6.2,"Mustard, Boro Paddy, Potato, Pulses",assam|tamulpur|rabi|bhabar-terai sandy clay loam
Assam,Tamulpur,Zaid,Bhabar-Terai Sandy Clay Loam,5.0,6.2,"Ahu Paddy, Cucurbits, Vegetables",assam|tamulpur|zaid|bhabar-terai sandy clay loam
Karnataka,Bagalkote,Kharif,Deep Black Cotton Soil (Vertisol),7.2,8.5,"Sugarcane, Sunflower, Maize, Pigeon Pea, Pearl Millet",karnataka|bagalkote|kharif|deep black cotton soil (vertisol)
Karnataka,Bagalkote,Rabi,Deep Black Cotton Soil (Vertisol),7.2,8.5,"Rabi Sorghum (Jowar), Chickpea (Bengal Gram), Wheat, Safflower",karnataka|bagalkote|rabi|deep black cotton soil (vertisol)
Karnataka,Bagalkote,Zaid,Deep Black Cotton Soil (Vertisol),7.2,8.5,"Summer Groundnut, Watermelon, Vegetables, Fodder Maize",karnataka|bagalkote|zaid|deep black cotton soil (vertisol)
Karnataka,Ballari,Kharif,Red Sandy Loam,6.8,8.2,"Cotton, Maize, Groundnut, Chili, Rice",karnataka|ballari|kharif|red sandy loam
Karnataka,Ballari,Kharif,Deep Black Soil,6.8,8.2,"Cotton, Maize, Groundnut, Chili, Rice",karnataka|ballari|kharif|deep black soil
Karnataka,Ballari,Rabi,Red Sandy Loam,6.8,8.2,"Rabi Sorghum, Chickpea, Sunflower, Wheat",karnataka|ballari|rabi|red sandy loam
Karnataka,Ballari,Rabi,Deep Black Soil,6.8,8.2,"Rabi Sorghum, Chickpea, Sunflower, Wheat",karnataka|ballari|rabi|deep black soil
Karnataka,Ballari,Zaid,Red Sandy Loam,6.8,8.2,"Summer Groundnut, Vegetables, Watermelon",karnataka|ballari|zaid|red sandy loam
Karnataka,Ballari,Zaid,Deep Black Soil,6.8,8.2,"Summer Groundnut, Vegetables, Watermelon",karnataka|ballari|zaid|deep black soil
Karnataka,Belagavi,Kharif,Deep Black Cotton,6.2,8.0,"Sugarcane, Paddy, Soybean, Maize, Cotton, Tobacco",karnataka|belagavi|kharif|deep black cotton
Karnataka,Belagavi,Kharif,Red Lateritic Soil,6.2,8.0,"Sugarcane, Paddy, Soybean, Maize, Cotton, Tobacco",karnataka|belagavi|kharif|red lateritic soil
Karnataka,Belagavi,Rabi,Deep Black Cotton,6.2,8.0,"Chickpea, Wheat, Rabi Sorghum, Safflower",karnataka|belagavi|rabi|deep black cotton
Karnataka,Belagavi,Rabi,Red Lateritic Soil,6.2,8.0,"Chickpea, Wheat, Rabi Sorghum, Safflower",karnataka|belagavi|rabi|red lateritic soil
Karnataka,Belagavi,Zaid,Deep Black Cotton,6.2,8.0,"Summer Groundnut, Vegetables, Pulses",karnataka|belagavi|zaid|deep black cotton
Karnataka,Belagavi,Zaid,Red Lateritic Soil,6.2,8.0,"Summer Groundnut, Vegetables, Pulses",karnataka|belagavi|zaid|red lateritic soil
Karnataka,Bengaluru Rural,Kharif,Red Sandy Loam / Red Lateritic Soil,5.8,7.0,"Finger Millet (Ragi), Maize, Groundnut, Pigeon Pea, Grapes",karnataka|bengaluru rural|kharif|red sandy loam / red lateritic soil
Karnataka,Bengaluru Rural,Rabi,Red Sandy Loam / Red Lateritic Soil,5.8,7.0,"Vegetables, Horse Gram, Cowpea, Tomato",karnataka|bengaluru rural|rabi|red sandy loam / red lateritic soil
Karnataka,Bengaluru Rural,Zaid,Red Sandy Loam / Red Lateritic Soil,5.8,7.0,"Summer Vegetables, Floriculture, Watermelon",karnataka|bengaluru rural|zaid|red sandy loam / red lateritic soil
Karnataka,Bengaluru Urban,Kharif,Red Loamy Soil,6.0,7.2,"Finger Millet (Ragi), Maize, Vegetables, Flowers",karnataka|bengaluru urban|kharif|red loamy soil
Karnataka,Bengaluru Urban,Rabi,Red Loamy Soil,6.0,7.2,"Winter Vegetables, Floriculture, Nursery Crops",karnataka|bengaluru urban|rabi|red loamy soil
